,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,10.439994668960571,0.6719171575106979,0.06650681495666504,0.00674441687114548,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",0.9130833333333334,0.9221666666666667,0.91525,0.9125,0.9158333333333334,0.9157666666666667,0.0034381034823803103,15
1,43.26242814064026,0.5059764539364774,0.06622724533081055,0.00607603982591576,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.9119166666666668,0.92075,0.9141666666666667,0.9155833333333333,0.9175,0.9159833333333334,0.0030006480781472095,11
2,10.332688856124879,0.7533301284730454,0.06835699081420898,0.008615294673862156,1.2589254117941673,l1,"{'C': 1.2589254117941673, 'penalty': 'l1'}",0.9134166666666665,0.92325,0.9143333333333333,0.9143333333333333,0.918,0.9166666666666666,0.0036488202050647977,3
3,47.022904348373416,6.957506562528896,0.061437463760375975,0.001114142806814277,1.2589254117941673,l2,"{'C': 1.2589254117941673, 'penalty': 'l2'}",0.912,0.9203333333333333,0.9143333333333333,0.91525,0.91775,0.9159333333333333,0.0028690881245905615,12
4,10.657176160812378,0.9160773292651605,0.0680452823638916,0.01282259156959343,1.5848931924611136,l1,"{'C': 1.5848931924611136, 'penalty': 'l1'}",0.9144166666666667,0.9243333333333333,0.915,0.9133333333333333,0.91625,0.9166666666666666,0.003947221244819647,3
5,42.50723643302918,1.3816690389732382,0.060829782485961915,0.0016438707781273243,1.5848931924611136,l2,"{'C': 1.5848931924611136, 'penalty': 'l2'}",0.91225,0.9204166666666667,0.9131666666666667,0.9141666666666667,0.9181666666666667,0.9156333333333334,0.0031298739768736835,16
6,10.141761112213135,0.3410053521773747,0.059305763244628905,0.0006721229675115952,1.9952623149688797,l1,"{'C': 1.9952623149688797, 'penalty': 'l1'}",0.9141666666666667,0.9223333333333333,0.915,0.9151666666666667,0.9180833333333334,0.9169500000000002,0.0029998148090988642,2
7,42.57620038986206,1.481809070335142,0.062000703811645505,0.001810024556502672,1.9952623149688797,l2,"{'C': 1.9952623149688797, 'penalty': 'l2'}",0.9120833333333332,0.9201666666666667,0.91375,0.9153333333333333,0.918,0.9158666666666667,0.002902393648161657,13
8,10.62371096611023,0.8164311835652848,0.061980819702148436,0.0021368601341475897,2.51188643150958,l1,"{'C': 2.51188643150958, 'penalty': 'l1'}",0.9148333333333334,0.9235833333333333,0.914,0.9148333333333334,0.9183333333333333,0.9171166666666666,0.003561990704336212,1
9,43.78259725570679,1.0138219666983856,0.061610746383666995,0.002661961671584823,2.51188643150958,l2,"{'C': 2.51188643150958, 'penalty': 'l2'}",0.9126666666666666,0.9206666666666665,0.914,0.9139166666666667,0.91775,0.9158,0.00296956786979739,14
10,10.694360065460206,0.7337878855384636,0.06258544921875,0.0029588621504651807,3.1622776601683795,l1,"{'C': 3.1622776601683795, 'penalty': 'l1'}",0.9148333333333334,0.9225,0.9145833333333333,0.9135833333333333,0.9174166666666667,0.9165833333333333,0.0032175732746555696,6
11,44.85660629272461,2.1866592172149546,0.06235771179199219,0.0035667494956104885,3.1622776601683795,l2,"{'C': 3.1622776601683795, 'penalty': 'l2'}",0.9110833333333334,0.9211666666666667,0.914,0.9148333333333334,0.9168333333333333,0.9155833333333334,0.003348299734359374,18
12,10.327478885650635,0.4177868833269455,0.06362628936767578,0.007654278568361657,3.981071705534973,l1,"{'C': 3.981071705534973, 'penalty': 'l1'}",0.9136666666666666,0.9231666666666667,0.91375,0.914,0.9171666666666667,0.9163499999999999,0.0036501141534660895,8
13,45.129902076721194,0.9382685814967074,0.061093711853027345,0.0008003713135070036,3.981071705534973,l2,"{'C': 3.981071705534973, 'penalty': 'l2'}",0.91125,0.9211666666666667,0.9133333333333333,0.9146666666666666,0.9165,0.9153833333333333,0.0033613819909211356,22
14,10.386979579925537,0.8011963247036354,0.06930713653564453,0.014555493072314287,5.011872336272724,l1,"{'C': 5.011872336272724, 'penalty': 'l1'}",0.9144166666666667,0.9229166666666667,0.9145833333333333,0.9131666666666667,0.91625,0.9162666666666667,0.0034666666666666878,10
15,44.10416088104248,1.008731520094732,0.06098155975341797,0.0010609967129852093,5.011872336272724,l2,"{'C': 5.011872336272724, 'penalty': 'l2'}",0.9105833333333333,0.9218333333333333,0.9131666666666667,0.9149166666666667,0.9165,0.9154,0.00376880470293816,21
16,11.248740625381469,0.651840018394244,0.059868240356445314,0.00032952741162969694,6.309573444801933,l1,"{'C': 6.309573444801933, 'penalty': 'l1'}",0.91375,0.9220833333333334,0.91475,0.91425,0.91725,0.9164166666666667,0.0030785999704050432,7
17,45.06037836074829,0.8267616500363582,0.06363987922668457,0.0039950979325863376,6.309573444801933,l2,"{'C': 6.309573444801933, 'penalty': 'l2'}",0.9105833333333333,0.9214166666666667,0.9139166666666667,0.91475,0.9168333333333333,0.9155,0.003578485092263983,19
18,10.184878778457641,0.8441434145490158,0.06053452491760254,0.0009618168291162365,7.943282347242816,l1,"{'C': 7.943282347242816, 'penalty': 'l1'}",0.9141666666666667,0.92375,0.9150833333333334,0.9143333333333333,0.9158333333333334,0.9166333333333334,0.003607322799220721,5
19,44.825444889068606,1.3638184361436716,0.06953206062316894,0.008564863544065476,7.943282347242816,l2,"{'C': 7.943282347242816, 'penalty': 'l2'}",0.9114166666666667,0.922,0.9135,0.9136666666666666,0.91675,0.9154666666666668,0.003683521865461571,20
